date,stock,close,confidence,market_regime,signal
2026-04-08 15:10:00,TCS,2561.5,0.2886,1,NO TRADE
2026-04-08 15:11:00,TCS,2561.2,0.3139,1,NO TRADE
2026-04-08 15:12:00,TCS,2560.9,0.3283,1,NO TRADE
2026-04-08 15:13:00,TCS,2561.0,0.3351,1,NO TRADE
2026-04-08 15:14:00,TCS,2559.8,0.3385,1,NO TRADE
2026-04-08 15:15:00,TCS,2558.3,0.3342,1,NO TRADE
2026-04-08 15:16:00,TCS,2558.8,0.3182,1,NO TRADE
2026-04-08 15:17:00,TCS,2560.6,0.3034,1,NO TRADE
2026-04-08 15:18:00,TCS,2560.3,0.3206,1,NO TRADE
2026-04-08 15:19:00,TCS,2559.8,0.3407,1,NO TRADE
2026-04-08 15:20:00,TCS,2561.6,0.2576,1,NO TRADE
2026-04-08 15:21:00,TCS,2562.0,0.3109,1,NO TRADE
2026-04-08 15:22:00,TCS,2562.4,0.3046,1,NO TRADE
2026-04-08 15:23:00,TCS,2560.5,0.3189,1,NO TRADE
2026-04-08 15:24:00,TCS,2560.8,0.3038,1,NO TRADE
2026-04-08 15:25:00,TCS,2560.0,0.2851,1,NO TRADE
2026-04-08 15:26:00,TCS,2559.6,0.2822,1,NO TRADE
2026-04-08 15:27:00,TCS,2559.7,0.3011,1,NO TRADE
2026-04-08 15:28:00,TCS,2558.0,0.2886,1,NO TRADE
2026-04-08 15:29:00,TCS,2561.1,0.3391,1,NO TRADE
